距	㇑㇕㇐㇑㇐㇑㇀㇐㇕㇐㇗
呼	㇑㇕㇐㇓㇔㇓㇐㇚
啥	㇑㇕㇐㇓㇏㇐㇐㇑㇑㇕㇐
垃	㇐㇑㇀㇔㇐㇔㇓㇐
圾	㇐㇑㇀㇓㇋㇏
乳	㇓㇔㇔㇓㇇㇚㇀㇟
诚	㇔㇊㇐㇓㇆㇂㇓㇔
骗	㇕㇉㇀㇔㇕㇐㇓㇑㇆㇐㇑㇑
盗	㇔㇀㇓㇇㇓㇏㇑㇕㇑㇑㇐
销	㇓㇐㇐㇐㇙㇑㇔㇓㇑㇆㇐㇐
售	㇓㇑㇔㇐㇐㇐㇑㇐㇑㇕㇐
抬	㇐㇚㇀㇜㇔㇑㇕㇐
庆	㇔㇐㇓㇐㇓㇏
亚	㇐㇑㇑㇔㇓㇐
朵	㇓㇅㇐㇑㇓㇏
圳	㇐㇑㇀㇓㇑㇑
井	㇐㇐㇓㇑
屯	㇐㇗㇑㇟
扎	㇐㇚㇀㇟
烘	㇔㇓㇓㇔㇐㇑㇑㇐㇓㇔
烫	㇔㇔㇀㇡㇓㇓㇔㇓㇓㇏
蒸	㇐㇑㇑㇇㇚㇇㇓㇏㇐㇔㇔㇔㇔
液	㇔㇔㇀㇔㇐㇓㇑㇓㇇㇔㇏
婴	㇑㇕㇓㇔㇑㇕㇓㇔㇛㇓㇐
毒	㇐㇐㇑㇐㇗㇆㇔㇐㇔
籍	㇓㇐㇔㇓㇐㇔㇐㇐㇐㇑㇓㇔㇐㇑㇑㇐㇑㇕㇐㇐
夏	㇐㇓㇑㇕㇐㇐㇐㇓㇇㇏
季	㇓㇐㇑㇓㇏㇇㇚㇐
踢	㇑㇕㇐㇑㇐㇑㇀㇑㇕㇐㇐㇓㇆㇓㇓
趾	㇑㇕㇐㇑㇐㇑㇀㇑㇐㇑㇐
帅	㇑㇓㇑㇆㇑
宵	㇔㇔㇇㇑㇔㇓㇑㇆㇐㇐
播	㇐㇚㇀㇓㇔㇓㇐㇑㇓㇏㇑㇕㇐㇑㇐
坛	㇐㇑㇀㇐㇐㇜㇔
匆	㇓㇆㇓㇓㇔
侣	㇓㇑㇑㇕㇐㇑㇕㇐
福	㇔㇇㇑㇔㇐㇑㇕㇐㇑㇕㇐㇑㇐
惬	㇔㇔㇑㇐㇐㇔㇓㇐㇓㇔㇗
添	㇔㇔㇀㇐㇐㇓㇏㇚㇔㇔㇔
领	㇓㇔㇔㇇㇔㇐㇓㇑㇕㇓㇔
兵	㇓㇑㇐㇑㇐㇓㇔
蛋	㇇㇑㇐㇓㇏㇑㇕㇐㇑㇐㇔
权	㇐㇑㇓㇔㇇㇏
云	㇐㇐㇜㇔
矫	㇓㇐㇐㇓㇔㇓㇐㇓㇏㇓㇑
粗	㇔㇓㇐㇑㇓㇔㇑㇕㇐㇐㇐
糙	㇔㇓㇐㇑㇓㇔㇓㇐㇑㇐㇑㇕㇐㇔㇋㇏
征	㇓㇓㇑㇐㇑㇐㇑㇐
违	㇐㇐㇆㇑㇔㇋㇏
措	㇐㇚㇀㇐㇑㇑㇐㇑㇕㇐㇐
产	㇔㇐㇔㇓㇐㇓
货	㇓㇑㇓㇟㇑㇕㇓㇔
虎	㇑㇐㇇㇓㇐㇟㇓㇈
竞	㇔㇐㇔㇓㇐㇑㇕㇐㇓㇟
熬	㇐㇐㇑㇐㇆㇓㇓㇐㇓㇏㇔㇔㇔㇔
瞬	㇑㇕㇐㇐㇐㇓㇔㇔㇓㇔㇇㇓㇇㇔㇐㇜㇑
霞	㇐㇔㇇㇑㇔㇔㇔㇔㇕㇐㇑㇐㇐㇕㇐㇇㇏
番	㇓㇔㇓㇐㇑㇓㇏㇑㇕㇐㇑㇐
寓	㇔㇔㇇㇑㇕㇐㇐㇑㇆㇑㇀㇔
逸	㇓㇇㇑㇕㇐㇓㇟㇔㇔㇋㇏
志	㇐㇑㇐㇔㇂㇔㇔
厂	㇐㇓
育	㇔㇐㇜㇔㇑㇆㇐㇐
监	㇑㇑㇓㇐㇔㇑㇕㇑㇑㇐
曲	㇑㇕㇐㇑㇑㇐
师	㇑㇓㇐㇑㇆㇑
傅	㇓㇑㇐㇑㇕㇐㇐㇑㇔㇐㇚㇔
私	㇓㇐㇑㇓㇔㇜㇔
慎	㇔㇔㇑㇐㇑㇑㇕㇐㇐㇐㇐㇓㇔
饰	㇓㇇㇙㇓㇐㇑㇆㇑
画	㇐㇑㇕㇐㇑㇐㇗㇑
轰	㇐㇜㇐㇑㇇㇔㇇㇏
搪	㇐㇚㇀㇔㇐㇓㇕㇐㇐㇑㇑㇕㇐
耳	㇐㇑㇑㇐㇐㇐
柔	㇇㇔㇇㇚㇓㇐㇑㇓㇏
审	㇔㇔㇇㇑㇕㇐㇐㇑
核	㇐㇑㇓㇔㇔㇐㇜㇓㇓㇔
仓	㇓㇏㇆㇟
库	㇔㇐㇓㇐㇜㇐㇑
尸	㇕㇐㇓
飕	㇓㇈㇓㇔㇓㇑㇐㇕㇐㇐㇑㇇㇔
港	㇔㇔㇀㇐㇑㇑㇐㇓㇏㇕㇐㇟
恤	㇔㇔㇑㇓㇑㇕㇑㇑㇐
嗡	㇑㇕㇐㇓㇏㇜㇔㇆㇔㇀㇆㇔㇀
秒	㇓㇐㇑㇓㇔㇑㇓㇔㇓
循	㇓㇓㇑㇓㇓㇐㇑㇑㇕㇐㇐㇐
锈	㇓㇐㇐㇐㇙㇓㇐㇑㇓㇏㇡㇓
摄	㇐㇚㇀㇐㇑㇑㇐㇐㇐㇇㇔㇇㇏
虫	㇑㇕㇐㇑㇐㇔
镜	㇓㇐㇐㇐㇙㇔㇐㇔㇓㇐㇑㇕㇐㇐㇓㇟
镁	㇓㇐㇐㇐㇙㇔㇓㇐㇐㇑㇐㇐㇓㇏
炸	㇔㇓㇓㇔㇓㇐㇑㇐㇐
酱	㇔㇀㇑㇓㇇㇔㇐㇑㇕㇓㇗㇐㇐
炒	㇔㇓㇓㇔㇑㇓㇔㇓
肝	㇓㇆㇐㇐㇐㇐㇑
既	㇕㇐㇐㇙㇔㇐㇜㇓㇟
苛	㇐㇑㇑㇐㇑㇕㇐㇚
浆	㇔㇀㇑㇓㇇㇔㇚㇇㇓㇏
棉	㇐㇑㇓㇔㇓㇑㇕㇐㇐㇑㇆㇑
凳	㇇㇔㇓㇓㇏㇐㇑㇕㇐㇔㇓㇐㇓㇈
篓	㇓㇐㇔㇓㇐㇔㇔㇓㇐㇑㇓㇏㇛㇓㇐
檀	㇐㇑㇓㇔㇔㇐㇑㇕㇑㇕㇐㇐㇑㇕㇐㇐㇐
筑	㇓㇐㇔㇓㇐㇔㇐㇑㇀㇓㇈㇔
僻	㇓㇑㇕㇐㇓㇑㇕㇐㇔㇐㇔㇓㇐㇐㇑
傍	㇓㇑㇔㇐㇔㇓㇔㇇㇔㇐㇆㇓
册	㇓㇆㇓㇆㇐
寻	㇕㇐㇐㇐㇚㇔
拒	㇐㇚㇀㇐㇕㇐㇗
抗	㇐㇚㇀㇔㇐㇓㇈
托	㇐㇚㇀㇓㇐㇟
惫	㇓㇇㇏㇑㇕㇐㇑㇐㇔㇂㇔㇔
闲	㇔㇑㇆㇐㇑㇓㇔
彬	㇐㇑㇓㇔㇐㇑㇓㇔㇓㇓㇓
农	㇔㇇㇓㇙㇓㇏
夫	㇐㇐㇓㇏
谦	㇔㇊㇔㇓㇐㇕㇐㇐㇑㇑㇓㇏
毁	㇓㇑㇐㇕㇐㇐㇐㇑㇀㇓㇅㇇㇏
典	㇑㇕㇐㇑㇑㇐㇓㇔
巧	㇐㇑㇀㇐㇉
克	㇐㇑㇑㇕㇐㇓㇟
桔	㇐㇑㇓㇔㇐㇑㇐㇑㇕㇐
晶	㇑㇕㇐㇐㇑㇕㇐㇐㇑㇕㇐㇐
忌	㇕㇐㇟㇔㇂㇔㇔
晒	㇑㇕㇐㇐㇐㇑㇕㇓㇗㇐
学	㇔㇔㇓㇔㇇㇇㇚㇐
校	㇐㇑㇓㇔㇔㇐㇓㇔㇓㇏
镇	㇓㇐㇐㇐㇙㇐㇑㇑㇕㇐㇐㇐㇐㇓㇔
橘	㇐㇑㇓㇔㇇㇔㇇㇚㇓㇑㇆㇓㇔㇑㇕㇐
胶	㇓㇆㇐㇐㇔㇐㇓㇔㇓㇏
粘	㇔㇓㇐㇑㇓㇔㇑㇐㇑㇕㇐
臊	㇓㇆㇐㇐㇑㇕㇐㇑㇕㇐㇑㇕㇐㇐㇑㇓㇏
慌	㇔㇔㇑㇐㇑㇑㇔㇐㇗㇓㇑㇟
登	㇇㇔㇓㇓㇏㇐㇑㇕㇐㇔㇓㇐
筒	㇓㇐㇔㇓㇐㇔㇑㇆㇐㇑㇕㇐
紫	㇑㇐㇑㇀㇓㇟㇜㇜㇔㇚㇓㇔
庄	㇔㇐㇓㇐㇑㇐
坪	㇐㇑㇀㇐㇔㇓㇐㇑
羊	㇔㇓㇐㇐㇐㇑
驼	㇕㇉㇀㇔㇔㇇㇓㇟
暴	㇑㇕㇐㇐㇐㇑㇑㇐㇓㇏㇚㇔㇀㇓㇔
奥	㇓㇑㇕㇔㇓㇐㇑㇓㇔㇐㇓㇏
森	㇐㇑㇓㇏㇐㇑㇓㇔㇐㇑㇓㇏
村	㇐㇑㇓㇔㇐㇚㇔
萌	㇐㇑㇑㇑㇕㇐㇐㇓㇆㇐㇐
宠	㇔㇔㇇㇐㇓㇟㇓㇔
喂	㇑㇕㇐㇑㇕㇐㇑㇐㇐㇙㇓㇏
狗	㇓㇁㇓㇓㇆㇑㇕㇐
圈	㇑㇕㇔㇓㇐㇐㇓㇏㇆㇟㇐
鹿	㇔㇐㇓㇕㇑㇑㇐㇐㇙㇓㇟
屏	㇕㇐㇓㇔㇓㇐㇐㇓㇑
旋	㇔㇐㇆㇓㇓㇐㇇㇑㇐㇓㇏
亦	㇔㇐㇓㇚㇓㇔
钉	㇓㇐㇐㇐㇙㇐㇚
伤	㇓㇑㇓㇐㇆㇓
针	㇓㇐㇐㇐㇙㇐㇑
饲	㇓㇇㇙㇆㇐㇑㇕㇐
末	㇐㇐㇑㇓㇏
郊	㇔㇐㇓㇔㇓㇔㇡㇑
墅	㇑㇕㇐㇐㇑㇐㇀㇇㇔㇇㇚㇐㇑㇐
悄	㇔㇔㇑㇑㇔㇓㇑㇆㇐㇐
鸽	㇓㇔㇐㇑㇕㇐㇓㇆㇔㇉㇐
鹅	㇓㇐㇚㇀㇂㇓㇔㇓㇆㇔㇉㇐
柳	㇐㇑㇓㇔㇓㇙㇓㇆㇑
塘	㇐㇑㇀㇔㇐㇓㇕㇐㇐㇑㇑㇕㇐
塌	㇐㇑㇀㇑㇕㇐㇐㇆㇔㇀㇆㇔㇀
傻	㇓㇑㇓㇑㇕㇓㇔㇐㇓㇔㇓㇇㇏
吸	㇑㇕㇐㇓㇋㇏
缝	㇜㇜㇀㇓㇇㇏㇐㇐㇐㇑㇔㇋㇏
辈	㇑㇐㇐㇐㇑㇐㇐㇐㇐㇜㇐㇑
投	㇐㇚㇀㇓㇅㇇㇏
拦	㇐㇚㇀㇔㇓㇐㇐㇐
阻	㇡㇑㇑㇕㇐㇐㇐
拜	㇓㇐㇐㇓㇐㇐㇐㇐㇑
访	㇔㇊㇔㇐㇆㇓
岂	㇑㇗㇑㇕㇐㇟
狱	㇓㇁㇓㇔㇊㇐㇓㇏㇔
尝	㇑㇔㇓㇔㇇㇐㇐㇜㇔
呆	㇑㇕㇐㇐㇑㇓㇏
集	㇓㇑㇔㇐㇐㇐㇑㇐㇐㇑㇓㇏
财	㇑㇕㇓㇔㇐㇚㇓
密	㇔㇔㇇㇔㇂㇔㇓㇔㇑㇗㇑
初	㇔㇇㇑㇓㇔㇆㇓
诧	㇔㇊㇔㇔㇇㇓㇐㇟
漠	㇔㇔㇀㇐㇑㇑㇑㇕㇐㇐㇐㇓㇏
腻	㇓㇆㇐㇐㇐㇐㇐㇑㇕㇓㇔㇂㇔
醉	㇐㇑㇕㇓㇗㇐㇐㇔㇐㇓㇔㇓㇔㇐㇑
职	㇐㇑㇑㇐㇐㇀㇑㇕㇐㇓㇔
腐	㇔㇐㇓㇓㇑㇐㇚㇔㇑㇆㇓㇔㇓㇔
肥	㇓㇆㇐㇐㇕㇑㇐㇟
皂	㇓㇑㇕㇐㇐㇐㇟
悲	㇑㇐㇐㇐㇑㇐㇐㇐㇔㇂㇔㇔
寝	㇔㇔㇇㇔㇀㇑㇕㇐㇐㇔㇇㇇㇏
毡	㇓㇐㇐㇟㇑㇐㇑㇕㇐
傲	㇓㇑㇐㇐㇑㇐㇆㇓㇓㇐㇓㇏
赁	㇓㇑㇓㇐㇑㇐㇑㇕㇓㇔
陕	㇡㇑㇐㇔㇓㇐㇓㇏
仍	㇓㇑㇡㇓
互	㇐㇜㇇㇐
奉	㇐㇐㇐㇓㇏㇐㇐㇑
沐	㇔㇔㇀㇐㇑㇓㇏
救	㇐㇚㇔㇀㇓㇔㇔㇓㇐㇓㇏
骚	㇕㇉㇀㇇㇏㇔㇑㇕㇐㇑㇐㇔
涮	㇔㇔㇀㇕㇐㇓㇑㇆㇑㇑㇚
肉	㇑㇆㇓㇔㇓㇔
朝	㇐㇑㇑㇕㇐㇐㇐㇑㇓㇆㇐㇐
湘	㇔㇔㇀㇐㇑㇓㇔㇑㇕㇐㇐㇐
嘱	㇑㇕㇐㇕㇐㇓㇓㇑㇕㇐㇑㇆㇑㇀㇔
咐	㇑㇕㇐㇓㇑㇐㇚㇔
松	㇐㇑㇓㇔㇓㇏㇜㇔
宅	㇔㇔㇇㇓㇐㇟
却	㇐㇑㇐㇜㇔㇆㇑
莱	㇐㇑㇑㇐㇔㇓㇐㇑㇓㇏
蔽	㇐㇑㇑㇔㇓㇑㇆㇑㇓㇔㇓㇐㇓㇏
煤	㇔㇓㇓㇔㇐㇑㇑㇐㇐㇐㇑㇓㇏
炭	㇑㇗㇑㇐㇓㇔㇓㇓㇏
柠	㇐㇑㇓㇔㇔㇔㇇㇐㇚
檬	㇐㇑㇓㇔㇐㇑㇑㇔㇇㇐㇐㇓㇁㇓㇓㇓㇏
谱	㇔㇊㇔㇓㇐㇑㇑㇔㇓㇐㇑㇕㇐㇐
珍	㇐㇐㇑㇀㇓㇏㇓㇓㇓
巻	㇔㇓㇐㇐㇓㇏㇕㇐㇟
授	㇐㇚㇀㇓㇔㇔㇓㇔㇇㇇㇏
幻	㇜㇜㇔㇆
彩	㇓㇔㇔㇓㇐㇑㇓㇔㇓㇓㇓
郁	㇐㇓㇑㇆㇐㇐㇡㇑
薛	㇐㇑㇑㇓㇑㇕㇐㇕㇐㇔㇐㇔㇓㇐㇐㇑
演	㇔㇔㇀㇔㇔㇇㇐㇑㇕㇐㇑㇐㇓㇔
唱	㇑㇕㇐㇑㇕㇐㇐㇑㇕㇐㇐
耶	㇐㇑㇑㇐㇐㇀㇡㇑
蓝	㇐㇑㇑㇑㇑㇓㇐㇔㇑㇕㇑㇑㇐
饿	㇓㇇㇙㇓㇐㇚㇀㇂㇓㇔
喊	㇑㇕㇐㇐㇓㇐㇑㇕㇐㇂㇓㇔
枚	㇐㇑㇓㇔㇓㇐㇓㇏
综	㇜㇜㇀㇔㇔㇇㇐㇐㇚㇓㇔
军	㇔㇇㇐㇜㇐㇑
弧	㇕㇐㇉㇓㇓㇙㇔㇏
伏	㇓㇑㇐㇓㇏㇔
徒	㇓㇓㇑㇐㇑㇐㇑㇐㇓㇏
渣	㇔㇔㇀㇐㇑㇓㇏㇑㇕㇐㇐㇐
舱	㇓㇓㇆㇔㇐㇔㇓㇏㇆㇟
慰	㇕㇐㇓㇐㇐㇚㇓㇔㇐㇚㇔㇔㇂㇔㇔
偷	㇓㇑㇓㇏㇐㇑㇆㇐㇐㇑㇚
懒	㇔㇔㇑㇐㇑㇕㇐㇑㇓㇔㇓㇇㇑㇕㇓㇔
渡	㇔㇔㇀㇔㇐㇓㇐㇑㇑㇐㇇㇏
眯	㇑㇕㇐㇐㇐㇔㇓㇐㇑㇓㇏
乡	㇜㇜㇓
揽	㇐㇚㇀㇑㇑㇓㇐㇔㇑㇕㇓㇟
驿	㇕㇉㇀㇇㇏㇐㇐㇑
盟	㇑㇕㇐㇐㇓㇆㇐㇐㇑㇕㇑㇑㇐
模	㇐㇑㇓㇔㇐㇑㇑㇑㇕㇐㇐㇐㇓㇏
秩	㇓㇐㇑㇓㇔㇓㇐㇐㇓㇏
序	㇔㇐㇓㇇㇔㇇㇚
渴	㇔㇔㇀㇑㇕㇐㇐㇓㇆㇓㇔㇗
疼	㇔㇐㇓㇔㇀㇓㇇㇏㇔㇔
喇	㇑㇕㇐㇐㇑㇕㇐㇑㇓㇔㇑㇚
叭	㇑㇕㇐㇓㇏
病	㇔㇐㇓㇔㇀㇐㇑㇆㇓㇔
飘	㇐㇑㇕㇑㇑㇐㇐㇐㇚㇓㇔㇓㇈㇓㇔
掀	㇐㇚㇀㇓㇓㇐㇑㇓㇇㇓㇏
搋	㇐㇚㇀㇓㇓㇑㇐㇇㇓㇐㇟㇓㇈
婆	㇔㇔㇀㇇㇓㇑㇇㇏㇛㇓㇐
娱	㇛㇓㇐㇑㇕㇐㇐㇐㇓㇏
痒	㇔㇐㇓㇔㇀㇔㇓㇐㇐㇐㇑
挥	㇐㇚㇀㇔㇇㇐㇜㇐㇑
盛	㇐㇓㇆㇂㇓㇔㇑㇕㇑㇑㇐
戚	㇐㇓㇑㇐㇐㇚㇓㇔㇂㇓㇔
婚	㇛㇓㇐㇓㇙㇐㇂㇑㇕㇐㇐
敬	㇐㇑㇑㇓㇆㇑㇕㇐㇓㇐㇓㇏
沈	㇔㇔㇀㇔㇇㇓㇟
恰	㇔㇔㇑㇓㇏㇐㇑㇕㇐
谷	㇓㇔㇓㇏㇑㇕㇐
墓	㇐㇑㇑㇑㇕㇐㇐㇐㇓㇏㇐㇑㇐
阶	㇡㇑㇓㇏㇓㇑
拌	㇐㇚㇀㇔㇓㇐㇐㇑
胃	㇑㇕㇐㇑㇐㇑㇆㇐㇐
魂	㇐㇐㇜㇔㇓㇑㇕㇐㇐㇓㇟㇜㇔
撞	㇐㇚㇀㇔㇐㇔㇓㇐㇑㇕㇐㇐㇑㇐㇐
赤	㇐㇑㇐㇓㇚㇓㇔
亵	㇔㇐㇐㇚㇀㇓㇈㇔㇓㇙㇓㇏
栏	㇐㇑㇓㇔㇔㇓㇐㇐㇐
刮	㇓㇐㇑㇑㇕㇐㇑㇚
替	㇐㇐㇓㇔㇐㇐㇓㇏㇑㇕㇐㇐
韩	㇐㇑㇑㇕㇐㇐㇐㇑㇐㇐㇆㇑
涛	㇔㇔㇀㇐㇐㇐㇓㇐㇚㇔
扇	㇔㇕㇐㇓㇆㇔㇀㇆㇔㇀
尴	㇐㇓㇟㇑㇑㇓㇐㇔㇑㇕㇑㇑㇐
尬	㇐㇓㇟㇓㇏㇓㇑
胖	㇓㇆㇐㇐㇔㇓㇐㇐㇑
宣	㇔㇔㇇㇐㇑㇕㇐㇐㇐
溢	㇔㇔㇀㇔㇓㇐㇓㇔㇑㇕㇑㇑㇐
铃	㇓㇐㇐㇐㇙㇓㇏㇔㇇㇔
砸	㇐㇓㇑㇕㇐㇐㇑㇆㇑㇗
熊	㇜㇔㇑㇆㇐㇐㇓㇟㇓㇟㇔㇔㇔㇔
迪	㇑㇕㇐㇑㇐㇔㇋㇏
尼	㇕㇐㇓㇓㇟
余	㇓㇏㇐㇐㇚㇓㇔
叠	㇇㇔㇇㇔㇇㇔㇔㇇㇑㇕㇐㇐㇐
载	㇐㇑㇐㇐㇜㇑㇀㇂㇓㇔
羽	㇆㇔㇀㇆㇔㇀
卿	㇓㇙㇓㇕㇐㇐㇙㇔㇆㇑
灿	㇔㇓㇓㇔㇑㇗㇑
瞄	㇑㇕㇐㇐㇐㇐㇑㇑㇑㇕㇐㇑㇐
闺	㇔㇑㇆㇐㇑㇐㇐㇑㇐
浦	㇔㇔㇀㇐㇑㇆㇐㇐㇑㇔
虹	㇑㇕㇐㇑㇐㇔㇐㇑㇐
妥	㇓㇔㇔㇓㇛㇓㇐
裂	㇐㇓㇇㇔㇑㇚㇔㇐㇓㇙㇓㇏
侨	㇓㇑㇓㇐㇓㇏㇓㇑
博	㇐㇑㇐㇑㇕㇐㇐㇑㇔㇐㇚㇔
详	㇔㇊㇔㇓㇐㇐㇐㇑
瞎	㇑㇕㇐㇐㇐㇔㇔㇇㇐㇐㇐㇑㇑㇕㇐
桑	㇇㇔㇇㇔㇇㇔㇐㇑㇓㇏
萨	㇐㇑㇑㇡㇑㇔㇐㇔㇓㇐㇓
尔	㇓㇇㇚㇓㇔
爵	㇓㇔㇔㇓㇑㇕㇑㇑㇐㇕㇐㇐㇙㇔㇐㇚㇔
猫	㇓㇁㇓㇐㇑㇑㇑㇕㇐㇑㇐
陡	㇡㇑㇐㇑㇐㇑㇐㇓㇏
垣	㇐㇑㇀㇐㇑㇕㇐㇐㇐
摩	㇔㇐㇓㇐㇑㇓㇔㇐㇑㇓㇏㇓㇐㇐㇚
障	㇡㇑㇔㇐㇔㇓㇐㇑㇕㇐㇐㇐㇑
潢	㇔㇔㇀㇐㇑㇑㇐㇑㇕㇐㇑㇐㇓㇔
妙	㇛㇓㇐㇑㇓㇔㇓
占	㇑㇐㇑㇕㇐
摔	㇐㇚㇀㇔㇐㇜㇜㇔㇔㇀㇓㇔㇐㇑
腔	㇓㇆㇐㇐㇔㇔㇇㇓㇔㇐㇑㇐
奢	㇐㇓㇏㇐㇑㇐㇓㇑㇕㇐㇐
杆	㇐㇑㇓㇔㇐㇐㇑
橱	㇐㇑㇓㇔㇐㇓㇐㇑㇕㇐㇔㇓㇀㇐㇚㇔
汇	㇔㇔㇀㇐㇗
嗷	㇑㇕㇐㇐㇐㇑㇐㇆㇓㇓㇐㇓㇏
饱	㇓㇇㇙㇓㇆㇕㇐㇟
址	㇐㇑㇀㇑㇐㇑㇐
粒	㇔㇓㇐㇑㇓㇔㇔㇐㇔㇓㇐
苍	㇐㇑㇑㇓㇏㇆㇟
蝇	㇑㇕㇐㇑㇐㇔㇑㇕㇐㇑㇕㇐㇐㇟
寺	㇐㇑㇐㇐㇚㇔
豫	㇇㇔㇇㇚㇓㇇㇑㇕㇐㇓㇁㇓㇓㇓㇏
夹	㇐㇔㇓㇐㇓㇏
赏	㇑㇔㇓㇔㇇㇑㇕㇐㇑㇕㇓㇔
患	㇑㇕㇐㇑㇕㇐㇑㇔㇂㇔㇔
爹	㇓㇔㇓㇏㇓㇇㇔㇓㇇㇔
夸	㇐㇓㇏㇐㇐㇉
卵	㇓㇙㇔㇓㇆㇑㇔
骂	㇑㇕㇐㇑㇕㇐㇕㇉㇐
滩	㇔㇔㇀㇇㇔㇓㇑㇔㇐㇐㇐㇑㇐
痕	㇔㇐㇓㇔㇀㇕㇐㇐㇙㇓㇏
肮	㇓㇆㇐㇐㇔㇐㇓㇈
邋	㇛㇛㇛㇑㇕㇓㇔㇐㇙㇔㇔㇙㇔㇔㇂㇔㇋㇏
狠	㇓㇁㇓㇕㇐㇐㇙㇓㇏
豁	㇔㇔㇇㇐㇐㇐㇑㇑㇕㇐㇓㇔㇓㇏㇑㇕㇐
乌	㇓㇆㇉㇐
囊	㇐㇑㇕㇐㇑㇔㇇㇑㇕㇐㇑㇕㇐㇐㇐㇑㇑㇐㇓㇙㇓㇏
欧	㇐㇓㇔㇗㇓㇇㇓㇏
罗	㇑㇕㇑㇑㇐㇓㇇㇔
勒	㇐㇑㇑㇐㇑㇕㇐㇐㇑㇆㇓
汁	㇔㇔㇀㇐㇑
芳	㇐㇑㇑㇔㇐㇆㇓
煎	㇔㇓㇐㇑㇆㇐㇐㇑㇚㇔㇔㇔㇔
旦	㇑㇕㇐㇐㇐
漫	㇔㇔㇀㇑㇕㇐㇐㇑㇕㇑㇑㇐㇇㇏
酿	㇐㇑㇕㇓㇗㇐㇐㇔㇕㇐㇐㇙㇓㇏
芯	㇐㇑㇑㇔㇂㇔㇔
康	㇔㇐㇓㇕㇐㇐㇚㇔㇀㇓㇏
豆	㇐㇑㇕㇐㇔㇓㇐
术	㇐㇑㇓㇏㇔
愧	㇔㇔㇑㇓㇑㇕㇐㇐㇓㇟㇜㇔
案	㇔㇔㇇㇛㇓㇐㇐㇑㇓㇏
劳	㇐㇑㇑㇔㇇㇆㇓
剔	㇑㇕㇐㇐㇓㇆㇓㇓㇑㇚
窝	㇔㇔㇇㇓㇔㇑㇕㇐㇑㇆㇓㇔
拆	㇐㇚㇀㇓㇓㇐㇑㇔
裤	㇔㇇㇑㇓㇔㇔㇐㇓㇐㇜㇐㇑
荒	㇐㇑㇑㇔㇐㇗㇓㇑㇟
舍	㇓㇏㇐㇐㇑㇑㇕㇐
披	㇐㇚㇀㇇㇓㇑㇇㇏
啤	㇑㇕㇐㇓㇑㇕㇐㇐㇓㇐㇑
碗	㇐㇓㇑㇕㇐㇔㇔㇇㇓㇇㇔㇆㇟
噢	㇑㇕㇐㇓㇑㇕㇔㇓㇐㇑㇓㇔㇐㇓㇏
阑	㇔㇑㇆㇐㇑㇕㇔㇓㇐㇑㇓㇔
珊	㇐㇐㇑㇀㇓㇆㇓㇆㇐
恒	㇔㇔㇑㇐㇑㇕㇐㇐㇐
煮	㇐㇑㇐㇓㇑㇕㇐㇐㇔㇔㇔㇔
邻	㇓㇔㇔㇇㇔㇡㇑
锻	㇓㇐㇐㇐㇙㇓㇑㇐㇐㇀㇓㇅㇇㇏
炼	㇔㇓㇓㇔㇐㇜㇆㇓㇔
翅	㇐㇑㇇㇏㇆㇔㇀㇆㇔㇀
膀	㇓㇆㇐㇐㇔㇐㇔㇓㇔㇇㇔㇐㇆㇓
靓	㇐㇐㇑㇐㇑㇆㇐㇐㇑㇕㇓㇟
溜	㇔㇔㇀㇓㇙㇔㇆㇓㇑㇕㇐㇑㇐
篷	㇓㇐㇔㇓㇐㇔㇓㇇㇏㇐㇐㇐㇑㇔㇋㇏
教	㇐㇑㇐㇓㇇㇚㇀㇓㇐㇓㇏
鳞	㇓㇇㇑㇕㇐㇑㇐㇀㇔㇓㇐㇑㇓㇏㇓㇇㇔㇐㇜㇑
幅	㇑㇆㇑㇐㇑㇕㇐㇑㇕㇐㇑㇐
止	㇑㇐㇑㇐
承	㇇㇚㇐㇐㇐㇇㇓㇏
默	㇑㇕㇔㇓㇐㇑㇐㇀㇔㇔㇔㇔㇐㇓㇏㇔
纠	㇜㇜㇀㇙㇑
缠	㇜㇜㇀㇔㇐㇓㇑㇕㇐㇐㇑㇐㇐
韵	㇔㇐㇔㇓㇐㇑㇕㇐㇐㇓㇆㇔㇀
玫	㇐㇐㇑㇀㇓㇐㇓㇏
瑰	㇐㇐㇑㇀㇓㇑㇕㇐㇐㇓㇟㇜㇔
霄	㇐㇔㇇㇑㇔㇔㇔㇔㇑㇔㇓㇑㇆㇐㇐
苑	㇐㇑㇑㇓㇇㇔㇆㇟
执	㇐㇚㇀㇓㇈㇔
淮	㇔㇔㇀㇓㇑㇔㇐㇐㇐㇑㇐
固	㇑㇕㇐㇑㇑㇕㇐㇐
宋	㇔㇔㇇㇐㇑㇓㇏
龄	㇑㇐㇑㇐㇓㇔㇗㇑㇓㇏㇔㇇㇔
叮	㇑㇕㇐㇐㇚
吱	㇑㇕㇐㇐㇑㇇㇏
谧	㇔㇊㇔㇂㇔㇓㇔㇑㇕㇑㇑㇐
趣	㇐㇑㇐㇑㇐㇓㇏㇐㇑㇑㇐㇐㇀㇇㇔
魔	㇔㇐㇓㇐㇑㇓㇔㇐㇑㇓㇏㇓㇑㇕㇐㇐㇓㇟㇜㇔
劵	㇔㇓㇐㇐㇓㇏㇆㇓
